City,Bank Name,Branch Name,Address,Phone,Branch Hours,Parking Notes,Primary Target Role,Contact Name,Contact Email,Contact Phone,Outcome,Temperature,Next Follow-Up Date,Appraisal Ordering,Notes
Ephrata,,,,,,,,,,,,,,
Ephrata,Ephrata National Bank,Main Office,31 E Main St Ephrata PA 17522,(717) 733-4181,M-Th 9-4 F 9-6 Sat 9-12,,Branch Manager,,,,,,,"Local community bank - likely strong local decision-making"
Ephrata,BB&T / Truist,Ephrata Branch,833 E Main St Ephrata PA 17522,(717) 738-2265,M-F 9-5 Sat 9-1,,Business Banking RM,,,,,,,
Ephrata,Fulton Bank,Ephrata Branch,1 E Main St Ephrata PA 17522,(717) 733-6641,M-Th 9-4 F 9-6 Sat 9-12,,Branch Manager,,,,,,,
Ephrata,M&T Bank,Ephrata Branch,117 E Main St Ephrata PA 17522,(717) 733-6671,M-F 9-5 Sat 9-12,,Business Banking RM,,,,,,,
Ephrata,PNC Bank,Ephrata Branch,400 W Main St Ephrata PA 17522,(717) 733-5636,M-F 9-5 Sat 9-1,,Branch Manager,,,,,,,
Ephrata,Wells Fargo,Ephrata Branch,717 E Main St Ephrata PA 17522,(717) 738-4680,M-F 9-5 Sat 9-12,,Branch Manager,,,,,,,
Ephrata,Centric Bank,Ephrata Branch,1110 E Main St Ephrata PA 17522,(717) 733-4839,M-F 9-5,,Business Banking RM,,,,,,,"Smaller community bank - good relationship potential"
Ephrata,First National Community Bank,Ephrata Branch,550 S Reading Rd Ephrata PA 17522,(717) 733-1532,M-F 9-5 Sat 9-12,,Branch Manager,,,,,,,
Lancaster,,,,,,,,,,,,,,
Lancaster,Fulton Bank,Main Office,1 Penn Square Lancaster PA 17602,(717) 291-2411,M-F 9-5,,Business Banking RM,,,,,,,"Headquarters - ask about centralized vendor onboarding"
Lancaster,PNC Bank,Downtown Lancaster,2 E King St Lancaster PA 17602,(717) 396-6811,M-F 9-5 Sat 9-1,,Branch Manager,,,,,,,
Lancaster,M&T Bank,Lancaster Main,36 N Queen St Lancaster PA 17603,(717) 291-1301,M-F 9-5 Sat 9-12,,Business Banking RM,,,,,,,
Lancaster,Wells Fargo,Lancaster Downtown,101 N Queen St Lancaster PA 17603,(717) 299-5101,M-F 9-5 Sat 9-12,,Branch Manager,,,,,,,
Lancaster,BB&T / Truist,Lancaster Branch,1570 Manheim Pike Lancaster PA 17601,(717) 581-6100,M-F 9-5 Sat 9-1,,Business Banking RM,,,,,,,
Lancaster,CNB Bank,Lancaster Branch,676 E Main St Lancaster PA 17602,(717) 396-1600,M-F 9-4:30,,Branch Manager,,,,,,,"Community bank - good SBA/CRE potential"
Lancaster,First National Community Bank,Lancaster Branch,1230 Lititz Pike Lancaster PA 17601,(717) 394-7481,M-F 9-5 Sat 9-12,,Branch Manager,,,,,,,
Lancaster,Centric Bank,Lancaster Branch,1201 Lititz Pike Lancaster PA 17601,(717) 735-8240,M-F 9-5,,Business Banking RM,,,,,,,
Lancaster,Ephrata National Bank,Lancaster East,2137 Lincoln Hwy E Lancaster PA 17602,(717) 397-8218,M-Th 9-4 F 9-6 Sat 9-12,,Branch Manager,,,,,,,"Same org as Ephrata main - cross-reference contacts"
Lancaster,KeyBank,Lancaster Branch,1655 Lititz Pike Lancaster PA 17601,(717) 560-0150,M-F 9-5 Sat 9-12,,Branch Manager,,,,,,,
Lancaster,Riverview Financial Corp,Lancaster Branch,3523 Hempland Rd Lancaster PA 17601,(717) 291-1600,M-F 9-5,,Branch Manager,,,,,,,
Lancaster,Citizens Bank,Lancaster Branch,831 E Main St Lancaster PA 17602,(717) 735-3100,M-F 9-5 Sat 9-12,,Branch Manager,,,,,,,
Lancaster,ESB Financial (now CNB),Manheim Pike,1600 Manheim Pike Lancaster PA 17601,(717) 393-1663,M-F 9-5 Sat 9-12,,Branch Manager,,,,,,,
Lancaster,Mid Penn Bancorp,Lancaster Branch,1110 Harrisburg Pike Lancaster PA 17601,(717) 690-9770,M-F 9-5,,Business Banking RM,,,,,,,
Lancaster,ESSA Bank,Lancaster Branch,945 E Main St Lancaster PA 17602,(717) 735-3800,M-F 9-5 Sat 9-12,,Branch Manager,,,,,,,
